Accident ID ,Type,Date,Speed,P Minor Injuries,P Serious Injuries,P Death Injuries,P Moderate Injuries,Road Lane,Road Surface, Vehicle Nationality,Class of License,Road Type,Lighting,Weather,Road Characteristics,Driver Fault,Governorate,Vehicle Category,Date of Accident,Number of Vehicles,Age of Driver, Gender
1996345,صدم,3/25/2019 3:49,40,0,0,0,0,اتجاهين غير مفصول بجزيرة وسطية,مبتل,السعوديه,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,مطر,منحني منحدر,التعامل مع المنعطفات بشكل خاطئ,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/25/2019 3:49,1,119,ذكر
2000919,صدم,2/4/2019 10:39,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,2/4/2019 10:39,3,36,ذكر
2000919,صدم,2/4/2019 10:39,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,2/4/2019 10:39,3,28,ذكر
2000919,صدم,2/4/2019 10:39,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة سادسة (أ),إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,2/4/2019 10:39,3,31,ذكر
2001332,صدم,3/4/2019 9:56,80,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة خامسة,إسفلتي,نهار,صافي,مستقيم مستوي,الرجوع بالمركبة الى الخلف المؤدي الى وقوع حادث,محافظة العاصمة عمان,شحن,3/4/2019 9:56,2,30,ذكر
2001332,صدم,3/4/2019 9:56,80,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/4/2019 9:56,2,30,ذكر
2001450,صدم,3/4/2019 14:44,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/4/2019 14:44,2,30,انثى
2001450,صدم,3/4/2019 14:44,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة خامسة,إسفلتي,نهار,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,ركوب متوسطة,3/4/2019 14:44,2,42,ذكر
2001658,صدم,3/4/2019 21:57,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/4/2019 21:57,3,45,ذكر
2001658,صدم,3/4/2019 21:57,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/4/2019 21:57,3,48,ذكر
2001658,صدم,3/4/2019 21:57,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,شحن,3/4/2019 21:57,3,49,ذكر
2001668,صدم,3/4/2019 22:20,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,تغير سائق المركبة المسرب بشكل مفاجئ,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/4/2019 22:20,2,43,ذكر
2001668,صدم,3/4/2019 22:20,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/4/2019 22:20,2,34,انثى
2004460,صدم,8/4/2019 14:46,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة اتوماتيك,إسفلتي,نهار,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,8/4/2019 14:46,2,31,انثى
2004460,صدم,8/4/2019 14:46,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,8/4/2019 14:46,2,60,ذكر
2004714,صدم,9/4/2019 2:04,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة اتوماتيك,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,9/4/2019 2:04,2,47,ذكر
